2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, net=32x32x32, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       5.3027e-04      1.5315e-04        7.8780e-04      5.5464e-04
     0.1       2.7496e-04      8.3460e-05        3.6172e-04      1.8728e-04
     0.2       1.2684e-04      5.1173e-06        2.1433e-04      8.2968e-05
     0.3       5.4075e-05      1.5505e-05        1.4363e-04      4.4589e-05
     0.4       3.3766e-05      7.5640e-06        6.4587e-05      6.8790e-06
     0.5       1.4461e-05      5.3174e-07        4.3264e-05      9.8135e-06
     0.6       8.7106e-06      4.4704e-06        7.0622e-05      3.9909e-05
     0.7       5.1704e-06      1.6741e-06        3.3179e-05      8.5539e-06
     0.8       3.4343e-06      3.5444e-07        2.4406e-05      7.2067e-06
     0.9       3.9753e-06      9.7770e-07        1.9306e-05      7.4505e-06
       1       4.8149e-06      1.5175e-06        2.4723e-05      7.8392e-06
