2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, qn=ssbroyden, epochs=20000 (adam=10000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       1.3349e-01      1.5390e-02        4.5952e-03      6.2112e-04
     0.1       1.3603e-03      1.4338e-04        3.9973e-03      5.8802e-04
     0.2       9.1248e-04      2.0011e-04        3.0374e-04      1.0182e-04
     0.3       4.0517e-04      6.2395e-05        2.4573e-03      5.3076e-04
     0.4       2.0463e-04      6.6802e-05        2.0084e-03      1.3183e-03
     0.5       1.0057e-04      3.1054e-05        2.8961e-03      8.0776e-04
     0.6       5.9490e-05      9.8582e-06        1.1033e-03      1.4760e-03
     0.7       4.6212e-05      1.0013e-05        2.2727e-03      1.7491e-03
     0.8       3.1656e-05      1.2584e-05        2.8455e-03      2.3181e-03
     0.9       2.6878e-05      3.1206e-06        3.8263e-03      1.0818e-03
       1       3.6167e-05      5.4345e-06        6.2230e-03      1.7761e-03
