CFGS (current-free Grad-Shafranov) Box-Cox sweep, net=32x32x32, variant=SSBroyden2, epochs=5000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       1.9037e-10      1.1431e-10        9.9114e-06      2.6063e-06
     0.1       2.4526e-11      8.4699e-12        1.4817e-06      9.2481e-07
     0.2       1.0359e-11      3.8615e-12        1.9440e-06      5.4305e-07
     0.3       1.7508e-11      1.1593e-11        4.5512e-06      3.1387e-06
     0.4       1.5916e-11      4.0280e-12        2.0778e-06      3.3800e-07
     0.5       3.8260e-10      4.2394e-10        1.8085e-05      1.0055e-05
     0.6       1.9312e-09      6.7269e-10        3.2659e-05      1.1161e-05
     0.7       8.8611e-09      2.6148e-09        7.2099e-05      4.2391e-05
     0.8       3.2046e-08      3.8090e-09        1.3778e-04      7.0026e-05
     0.9       5.8339e-07      2.0841e-07        4.5726e-04      8.6395e-05
       1       8.3616e-07      1.6924e-07        4.6371e-04      5.9403e-05
