Vacuum Grad-Shafranov (psi=R^2) Box-Cox sweep, net=32x32x32, variant=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.1       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.2       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.3       5.2035e-08      7.3564e-08        2.7042e-06      3.7498e-06
     0.4       3.9395e-12      1.8593e-12        0.0000e+00      0.0000e+00
     0.5       2.4652e-12      1.6320e-12        0.0000e+00      0.0000e+00
     0.6       2.6091e-12      6.2834e-13        0.0000e+00      0.0000e+00
     0.7       3.3552e-12      1.7829e-12        0.0000e+00      0.0000e+00
     0.8       5.6814e-12      4.7096e-12        8.0276e-10      1.1353e-09
     0.9       3.0272e-12      4.5640e-13        0.0000e+00      0.0000e+00
       1       2.8219e-11      2.0079e-11        2.7648e-08      3.7902e-08
