2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, net=32x32x32, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
      -1       4.7335e-02      1.6099e-02        5.1498e-03      2.2847e-03
    -0.5       1.1082e-02      5.6753e-03        3.2640e-03      5.3485e-04
   -0.25       3.1340e-03      6.4416e-04        1.4723e-03      5.3060e-04
  -0.125       1.9056e-03      7.4859e-04        2.0082e-03      1.4413e-03
       0       4.8223e-04      8.6763e-05        5.5454e-04      3.1845e-04
   0.125       2.3325e-04      4.2174e-05        6.3561e-04      1.4365e-04
    0.25       7.5389e-05      2.6811e-05        2.5390e-04      1.4156e-04
     0.5       1.4630e-05      2.9072e-06        8.7512e-05      8.2924e-05
    0.75       5.7018e-06      1.0527e-06        5.3281e-05      1.2769e-05
       1       4.2750e-06      1.3977e-06        2.6151e-05      4.4335e-06
